old_reference,source_file,line,classification,action,new_reference,verified_exists,notes,raw_line
data/pallet/trunc_addon_v1,_docs/history/2026-07-03.md,108,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"`data/pallet/trunc_addon_v1/` 6000장(기존 버그 dir clear 후 재생성). run_trunc_addon.py fixed blender_math, seed 20260703, 6199s(~1.72h, 21350 attempts, 에러 0). png/json/mask 각 6000."
data/pallet/trunc_addon_v1_pilot,_docs/history/2026-07-03.md,101,LEGACY_DOC,NO_CHANGE(과거 기록은 당시 경로 보존),,n/a,소급 수정 금지,"`data/pallet/trunc_addon_v1_pilot/` 300장, run_trunc_addon.py fixed blender_math, seed 20260703, 308s(1065 attempts). 기존 버그 dir(trunc_addon_v1) 안 건드리고 별도 dir(덮어쓰기 실수 방지)."
data/pallet/_floor_applied14,scripts/data_prep/blender/_make_floor_sheet14.py,7,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"D = ""data/pallet/_floor_applied14"""
data/pallet/_floor_applied14,scripts/data_prep/blender/_render_floor_applied14.py,39,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_floor_applied14"")"
data/pallet/_floor_compare,scripts/data_prep/blender/_make_floor_sheet.py,7,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"D = ""data/pallet/_floor_compare"""
data/pallet/_floor_compare,scripts/data_prep/blender/_render_floor_compare.py,37,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_floor_compare"")"
data/pallet/_floor_emit,scripts/data_prep/blender/_floor_emit_patch.py,4,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"'--out_dir','data/pallet/_floor_emit','--flat_out','--overlay_every','0']"
data/pallet/_floor_fix_test,scripts/data_prep/blender/_render_floor_fix_test.py,11,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,Out: data/pallet/_floor_fix_test/<texture>.png + _sheet.png
data/pallet/_floor_fix_test,scripts/data_prep/blender/_render_floor_fix_test.py,31,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_floor_fix_test"")"
data/pallet/_floor_smoke10,scripts/data_prep/blender/_make_smoke10_sheet.py,5,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"D = r""E:/CODING/GitHub/FoundationPose/data/pallet/_floor_smoke10"""
data/pallet/_floor_smoke10,scripts/data_prep/blender/_verify_smoke10.py,5,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"D = r""E:/CODING/GitHub/FoundationPose/data/pallet/_floor_smoke10"""
data/pallet/_floor_test10b/000002.json,scripts/data_prep/blender/_diag_screenray.py,14,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"d=json.load(open(""data/pallet/_floor_test10b/000002.json""))"
data/pallet/_floor_uv_test,scripts/data_prep/blender/_make_floor_uv_sheet.py,10,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(""data"", ""pallet"", ""_floor_uv_test"")"
data/pallet/_floor_uv_test,scripts/data_prep/blender/_render_floor_uv_compare.py,13,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,Out: data/pallet/_floor_uv_test/<tex>_mpt<val>.png + _sheet.png
data/pallet/_floor_uv_test,scripts/data_prep/blender/_render_floor_uv_compare.py,31,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_floor_uv_test"")"
data/pallet/_floor_uv_test/_sheet.png,scripts/data_prep/blender/_make_floor_uv_sheet.py,5,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"Run in pallet-pose env (needs cv2). Out: data/pallet/_floor_uv_test/_sheet.png"""""""
data/pallet/_mat_test10b/closeup,scripts/data_prep/blender/_render_wood_closeup.py,29,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_mat_test10b"", ""closeup"")"
data/pallet/_mat_test10b/train,scripts/data_prep/blender/_verify_mat10b.py,13,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"ROOT = ""data/pallet/_mat_test10b/train"""
data/pallet/_mat_test10d,scripts/data_prep/blender/_regen_mixed10.py,10,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"""--out_dir"", ""data/pallet/_mat_test10d"","
data/pallet/_mat_test10d_scene3,scripts/data_prep/blender/_regen_scene3.py,15,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"""--out_dir"", ""data/pallet/_mat_test10d_scene3"","
data/pallet/_mat_test10e/closeup,scripts/data_prep/blender/_render_plastic_closeup.py,31,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_mat_test10e"", ""closeup"")"
data/pallet/_material_compare,scripts/data_prep/blender/_render_material_compare.py,29,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_material_compare"")"
data/pallet/_preview10,scripts/data_prep/blender/gen_preview10.py,202,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_preview10"")"
data/pallet/_procedural_textures,config/synthetic/isaac_sim.yaml,9,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"""procedural_texture_dir"": ""data/pallet/_procedural_textures"""
data/pallet/_test_topview,scripts/data_prep/blender/gen_topview_test.py,15,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"- N target = 24, outputs to data/pallet/_test_topview/ (does NOT touch _preview10)."
data/pallet/_test_topview,scripts/data_prep/blender/gen_topview_test.py,186,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_test_topview"")"
data/pallet/_wood_skin_compare,scripts/data_prep/blender/_render_wood_skin_compare.py,29,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_wood_skin_compare"")"
data/pallet/_wood_skin_compare/catalog_wood_skins.png,scripts/data_prep/blender/_render_wood_skin_compare.py,10,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,data/pallet/_wood_skin_compare/catalog_wood_skins.png  (labelled grid)
data/pallet/_wood_skin_compare/random_applied,scripts/data_prep/blender/_gen_wood_random_samples.py,32,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_wood_skin_compare"", ""random_applied"")"
data/pallet/ndds3_pallet.pth,scripts/dope/run_dope_live.py,160,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"ap.add_argument(""--weights"",   default=""data/pallet/ndds3_pallet.pth"")"
data/pallet/pallet_scene/Collected_World0/SubUSDs/textures,config/synthetic/isaac_sim.yaml,3,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"""gltf_dir"": ""data/pallet/pallet_scene/Collected_World0/SubUSDs/textures"","
data/pallet/real_unlabeled,config/stage3_selftrain.yaml,82,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,real_unlabeled: data/pallet/real_unlabeled
data/pallet/real_unlabeled,scripts/self_training/self_train.py,18,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,--real_dir data/pallet/real_unlabeled \\
data/pallet/test_canonical,scripts/data_prep/verify_keypoints.py,121,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"data_dir = sys.argv[1] if len(sys.argv) > 1 else ""data/pallet/test_canonical"""
data/pallet/test_fix_axis/000001.json,scripts/data_prep/_check_axis.py,4,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"path = sys.argv[1] if len(sys.argv) > 1 else ""data/pallet/test_fix_axis/000001.json"""
data/pallet/test_indoor_v1,scripts/data_prep/blender/render_indoor_data.py,29,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"default=""C:/Users/User/Documents/GitHub/FoundationPose/data/pallet/test_indoor_v1"")"
data/pallet/test_palletobj_r3,scripts/data_prep/blender/run_dataset_v4.sh,15,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,# Layout matches data/pallet/test_palletobj_r3 (DOPE-ready flat folders).
data/pallet/test_palletobj_v1,scripts/data_prep/blender/gen_palletobj_scenarios.py,31,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"DEFAULT_OUT_BASE = r""E:/CODING/GitHub/FoundationPose/data/pallet/test_palletobj_v1"""
data/pallet/test_palletobj_v1,scripts/data_prep/blender/gen_palletobj_v1.py,6,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,--out data/pallet/test_palletobj_v1 --n 10 --seed 42
data/pallet/test_render_v2,scripts/data_prep/visualize_annotations.py,5,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,--data_dir data/pallet/test_render_v2 \
data/pallet/test_render_v2/overlay,scripts/data_prep/visualize_annotations.py,6,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,--output_dir data/pallet/test_render_v2/overlay
data/pallet/textures_floor,scripts/data_prep/blender/_render_floor_applied14.py,41,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""textures_floor"")"
data/pallet/textures_floor,scripts/data_prep/blender/_render_floor_compare.py,8,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"`data/pallet/textures_floor/`, keeping geometry, camera, HDRI, and the pallet"
data/pallet/textures_floor,scripts/data_prep/blender/_render_floor_compare.py,39,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""textures_floor"")"
data/pallet/textures_floor,scripts/data_prep/blender/floor_and_mask.py,22,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"FLOOR_TEXTURE_DIR = r""E:/CODING/GitHub/FoundationPose/data/pallet/textures_floor"""
data/pallet/textures_floor,scripts/data_prep/blender/run_addon_v1.sh,66,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"""${ROOT}/data/pallet/textures_floor"" \"
data/pallet/textures_wood,scripts/data_prep/blender/run_addon_v1.sh,67,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"""${ROOT}/data/pallet/textures_wood""; do"
data/pallet/train_4pallet_mask_v1,scripts/data_prep/blender/run_4pallet_mask.sh,19,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,# Usage (10k):     bash run_4pallet_mask.sh --num_frames 10000 --out data/pallet/train_4pallet_mask_v1 --seed 4444 --batch_size 250
data/pallet/train_4pallet_mask_v1_pilot,scripts/data_prep/blender/run_4pallet_mask.sh,18,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,# Usage (pilot):   bash run_4pallet_mask.sh --num_frames 40  --out data/pallet/train_4pallet_mask_v1_pilot --seed 4444 --batch_size 40
data/pallet/train_4pallet_mask_v1_pilot,scripts/data_prep/blender/run_4pallet_mask.sh,23,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"OUT_DIR=""data/pallet/train_4pallet_mask_v1_pilot"""
data/pallet/train_palletobj_addon_v1,scripts/data_prep/blender/run_addon_v1.sh,10,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,#   frames  = 6000    seed = 7777    out = data/pallet/train_palletobj_addon_v1
data/pallet/train_palletobj_addon_v1,scripts/data_prep/blender/run_addon_v1.sh,39,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"OUT=""data/pallet/train_palletobj_addon_v1"""
data/pallet/train_palletobj_addon_v2,scripts/data_prep/blender/run_addon_v1.sh,30,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,#        --out data/pallet/train_palletobj_addon_v2
data/pallet/train_palletobj_addon_v2,scripts/data_prep/blender/run_addon_v1.sh,77,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"echo ""--out data/pallet/train_palletobj_addon_v2 to make a fresh variant."""
data/pallet/train_palletobj_v1,scripts/data_prep/blender/analyze_stats.py,7,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"OUT_DIR = r""E:/CODING/GitHub/FoundationPose/data/pallet/train_palletobj_v1"""
data/pallet/train_palletobj_v1,scripts/data_prep/blender/run_chunks.sh,19,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"OUT=""E:/CODING/GitHub/FoundationPose/data/pallet/train_palletobj_v1"""
data/pallet/train_palletobj_v1,scripts/data_prep/blender/run_mass_10k.py,19,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"parser.add_argument(""--out"", type=str, default=r""E:/CODING/GitHub/FoundationPose/data/pallet/train_palletobj_v1"")"
data/pallet/train_palletobj_v2,scripts/data_prep/blender/run_chunks_v2.sh,11,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"OUT=""E:/CODING/GitHub/FoundationPose/data/pallet/train_palletobj_v2"""
data/pallet/train_palletobj_v3,scripts/data_prep/postprocess_v3.py,198,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"ap.add_argument(""--source-root"", default=""data/pallet/train_palletobj_v3"")"
data/pallet/train_palletobj_v3_post_v1,scripts/data_prep/postprocess_v3.py,199,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"ap.add_argument(""--output-root"", default=""data/pallet/train_palletobj_v3_post_v1"")"
data/pallet/train_palletobj_v3_post_v1/surface_fps_v1.json,scripts/data_prep/gen_surface_fps_v1.py,14,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"OUT = ""data/pallet/train_palletobj_v3_post_v1/surface_fps_v1.json"""
data/pallet/training_data,config/synthetic/blender_train_4000.yaml,20,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"""base_dir"": ""data/pallet/training_data"","
data/pallet/training_data,config/synthetic/isaac_sim.yaml,6,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"""default_output_dir"": ""data/pallet/training_data"","
data/pallet/training_data,scripts/data_prep/blender/_audit_perm_disagreement.py,22,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"""E:/CODING/GitHub/FoundationPose/data/pallet/training_data"""
data/pallet/training_data,scripts/data_prep/isaac_sim/gen_replicator_data.py,14,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,python scripts/data_prep/isaac_sim/gen_replicator_data.py --num_frames 15000 --output_dir data/pallet/training_data
data/pallet/training_data,scripts/data_prep/isaac_sim/generate_all.sh,41,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"TRAIN_BASE=""data/pallet/training_data"""
data/pallet/training_data,scripts/data_prep/merge_and_validate.py,13,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(""data"", ""pallet"", ""training_data"")"
data/pallet/training_data,scripts/data_prep/merge_and_validate.py,14,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(""data"", ""pallet"", ""training_data"")"
data/pallet/training_data,scripts/data_prep/merge_and_validate.py,16,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(""data"", ""pallet"", ""training_data"", d)"
data/pallet/training_data,scripts/data_prep/merge_and_validate.py,17,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(""data"", ""pallet"", ""training_data"")"
data/pallet/training_data,scripts/data_prep/merge_and_validate.py,19,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"os.path.join(""data"", ""pallet"", ""training_data"", d)"
data/pallet/training_data/train,config/default.yaml,53,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,train_dir: data/pallet/training_data/train
data/pallet/training_data/train,config/stage3_selftrain.yaml,81,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,synthetic_data: data/pallet/training_data/train
data/pallet/training_data/train,scripts/self_training/self_train.py,17,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,--synthetic_dir data/pallet/training_data/train \\
data/pallet/training_data/val,config/default.yaml,54,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,val_dir: data/pallet/training_data/val
data/pallet/training_data/val,config/stage3_selftrain.yaml,85,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,val_dir: data/pallet/training_data/val
data/pallet/training_data/val,scripts/data_prep/evaluate_on_val.py,12,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,--val_dir data/pallet/training_data/val \
data/pallet/training_data/val,scripts/data_prep/visualize_inference.py,9,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,--val_dir data/pallet/training_data/val \
data/pallet/training_data/val,scripts/data_prep/visualize_inference.py,185,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"parser.add_argument(""--val_dir"", default=""data/pallet/training_data/val"")"
data/pallet/training_data/val,scripts/data_prep/visualize_pretrain.py,192,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,syn_imgs = sorted(glob.glob('data/pallet/training_data/val/*.png'))
data/pallet/training_data_v4,scripts/data_prep/blender/_verify_repilot.py,21,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"ROOT = sys.argv[1] if len(sys.argv) > 1 else ""data/pallet/training_data_v4"""
data/pallet/training_data_v4,scripts/data_prep/blender/gen_4pallet_mask.py,32,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,--out_dir data/pallet/training_data_v4 --overlay_every 1
data/pallet/training_data_v4,scripts/data_prep/blender/gen_4pallet_mask.py,672,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"p.add_argument(""--out_dir"", default=""data/pallet/training_data_v4"")"
data/pallet/training_data_v4,scripts/data_prep/blender/gen_dataset_v4.py,32,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,--out_dir data/pallet/training_data_v4 --overlay_every 1
data/pallet/training_data_v4,scripts/data_prep/blender/gen_dataset_v4.py,479,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"p.add_argument(""--out_dir"", default=""data/pallet/training_data_v4"")"
data/pallet/training_data_v4,scripts/data_prep/blender/run_dataset_v4.sh,28,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,#        --out_dir data/pallet/training_data_v4 \
data/pallet/training_data_v4,scripts/data_prep/blender/run_dataset_v4.sh,34,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"OUT_DIR=""data/pallet/training_data_v4"""
data/pallet/training_data_v4_split,scripts/data_prep/blender/_restructure_to_r3.py,20,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,--root data/pallet/training_data_v4_split \
data/pallet/trunc_addon_v1,scripts/data_prep/blender/audit_trunc_addon.py,12,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,Usage:  python audit_trunc_addon.py --dir E:/.../data/pallet/trunc_addon_v1
data/pallet/trunc_addon_v1,scripts/data_prep/blender/gen_trunc_addon.py,38,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"DEFAULT_OUT_BASE = r""E:/CODING/GitHub/FoundationPose/data/pallet/trunc_addon_v1"""
data/pallet/trunc_addon_v1,scripts/data_prep/blender/run_trunc_addon.py,8,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,--num_frames 300 --out data/pallet/trunc_addon_v1 --seed 1234
data/pallet/trunc_addon_v1,scripts/data_prep/blender/run_trunc_addon.py,29,LEGACY_RUNTIME,NO_CHANGE(legacy 재현용 옛 경로),,n/a,해당 legacy 생성기를 다시 돌릴 때만 의미가 있음,"default=r""E:/CODING/GitHub/FoundationPose/data/pallet/trunc_addon_v1"")"
data/pallet/_v2_publicmask_overlay_smoke8/overlay/f0000..f0007.png,reports/v2_overlay_fix/final_report.md,297,SCANNER_ARTIFACT,NO_CHANGE(스캐너 오검출 — 문서 표기는 정확),,n/a,범위(..)/말줄임(...)/괄호/glob 표기를 경로로 오인,- 8-frame public smoke의 overlay는 `data/pallet/_v2_publicmask_overlay_smoke8/overlay/f0000..f0007.png`.
data/pallet/_v2_smoke50_9d/eda/contact_sheets/mask_integrity_source_masks_001..003.png,reports/v2_revision/quality_smoke50/summary.md,255,SCANNER_ARTIFACT,NO_CHANGE(스캐너 오검출 — 문서 표기는 정확),,n/a,범위(..)/말줄임(...)/괄호/glob 표기를 경로로 오인,- 전수 3페이지: `data/pallet/_v2_smoke50_9d/eda/contact_sheets/mask_integrity_source_masks_001..003.png`
